,code,ter,tc,tic
0,BEPFB4,1.42,0.96,
1,BEPFB3,0.15,0.96,
2,BEPFB1,2.27,1.03,
3,BEPFA5,1.06,1.03,
4,PBFA1,0.69,0.03,
5,FEPA2,0.93,0.54,
6,BFPB2,1.44,0.42,
7,ASPCD,1.57,0.11,
8,CSMHB1,0.93,0.47,
9,BEPFB2,1.30,1.03,
10,ASPCA,2.06,0.11,
11,DWWBI,2.18,0.60,
12,DTR50B,1.89,0.55,
13,DTR50,2.61,0.55,
14,SCPB3,0.58,0.39,
15,SCPB2,0.06,0.39,
16,SCPB1,0.37,0.39,
17,AWSMF,1.45,0.35,
18,SIFB8,1.05,0.00,
19,MMOEA,0.02,0.12,
20,MOOFD,1.28,0.11,
21,MOOFC,1.78,0.11,
22,MOOFB,1.72,0.11,
23,MOOFA,1.67,0.11,
24,MCSB3,0.23,0.07,
25,MCSB1,0.40,0.07,
26,MCSA2,1.00,0.07,
27,MCSA1,1.55,0.07,
28,STSB4,1.53,0.03,
29,SIFA1,1.19,0.00,
30,BIGFA,1.74,0.74,
31,EBMFA,2.06,0.48,
32,BBGPB,1.43,0.31,
33,BBGPA,1.83,0.31,
34,ABWWFC,1.46,2.93,
35,AWFFA,3.01,2.93,
36,IWIEH,1.17,0.31,
37,IWIBH,1.65,0.15,
38,MEYB7,0.31,0.00,
39,BEPFA4,1.01,1.03,
40,BEPFA3,1.29,0.96,
41,BEPFA2,1.58,1.03,
42,BEPFA1,1.18,0.96,
43,FUFB4,1.56,0.00,
44,BFPB1,1.09,0.42,
45,SIFA2,0.91,0.00,
46,OLEB1,2.28,0.29,
47,OGCB1,0.70,0.03,
48,CBEFA,1.13,0.67,
49,OMHB,0.99,0.22,
50,OGQS,3.34,0.18,
51,OOFS,1.74,,
52,OMGS,2.44,0.02,
53,OGTB,0.72,0.02,
54,OMFFC,3.28,0.20,
55,FEFCC,2.42,0.19,
56,MOEB1,0.92,0.15,
57,NFSCC,1.45,0.06,
58,NFBA,2.60,0.13,
59,PPEB2,1.33,0.48,
60,PEPB5,1.13,0.25,
61,PIPB4,2.93,0.11,
62,DYFS,2.93,0.07,
63,DYFB,1.21,0.07,
64,OMSS,3.24,0.14,
65,NFSB,2.93,0.06,
66,NFSA,2.59,0.06,
67,NFBCC,1.46,0.13,
68,NFBB,2.94,0.13,
69,PSFB2,1.21,0.00,
70,SUCB,0.01,0.00,
71,PSFA1,2.24,0.00,
72,PEPB2,0.96,0.25,
73,PEIB5,1.11,0.16,
74,PEIB4,2.82,0.16,
75,ISIUTB,0.05,0.00,
76,PEIB2,0.93,0.16,
77,PIPB5,1.22,0.11,
78,PIPB2,1.05,0.11,
79,PSFB4,3.38,0.00,
80,PEPB4,2.84,0.25,
81,OMLB,0.45,0.21,
82,OMRB,0.87,0.03,
83,MICC,2.63,0.09,
84,MICB,0.97,0.09,
85,OMTS,2.90,0.33,
86,OMIGC,4.22,0.00,
87,OMIFC,2.41,0.01,
88,OMHS,2.59,0.22,
89,OMTFC,2.55,0.37,
90,OMCFB,0.84,0.37,
91,OMSCC,3.04,0.07,
92,OMGCB,1.33,0.07,
93,OMRS,2.87,0.03,
94,OMMMC,2.12,0.00,
95,EFFB,2.76,0.18,
96,OMMRC,2.88,0.40,
97,MOEB3,0.07,0.15,
98,OMIB,2.43,0.00,
99,PACC,3.32,0.32,
100,PACB,2.35,0.32,
101,PAWC,2.64,0.32,
102,PMMC,2.03,0.02,
103,PCQFB5,0.47,0.00,
104,PGHC,3.34,0.04,
105,POFC,3.21,0.18,
106,PGCV,0.02,0.25,
107,PREA1,0.98,0.17,
108,PIPFB7,0.26,0.02,
109,PEQB5,0.21,0.06,
110,PEAB1,0.66,0.62,
111,PEQB3,0.04,0.06,
112,PSBB1,0.75,0.30,
113,PGQF,1.40,0.00,
114,PPRQB3,0.05,0.08,
115,PBFF,1.32,0.30,
116,PGCA2,2.51,0.00,
117,PIPFB5,0.58,0.02,
118,PGGA1,2.28,0.15,
119,PIPFB6,0.46,0.02,
120,PIPFB4,0.35,0.02,
121,PIPFB3,0.01,0.02,
122,PIPFB2,0.29,0.02,
123,PIPFB1,0.41,0.02,
124,PIPF,0.86,0.02,
125,PBQB1,0.45,0.14,
126,PRQA1,0.83,0.62,
127,ISPEUB,0.03,0.16,
128,MCPD,3.03,0.24,
129,PEAB2,0.38,0.62,
130,PGCA1,2.68,0.00,
131,PBQB3,0.05,0.14,
132,PCQF,0.58,0.00,
133,PFIB,0.02,0.00,
134,PPSM,1.79,0.12,
135,PPFI,1.20,0.03,
136,PPSE,1.74,0.28,
137,PPEC,0.76,0.00,
138,PPSC,1.65,0.05,
139,PCQFB3,0.01,0.00,
140,PAIB,1.57,0.04,
141,PBQB2,0.33,0.14,
142,PEQF,0.61,0.06,
143,PPFM,1.99,0.16,
144,PTPF,2.13,0.11,
145,PETP,1.44,0.16,
146,PTIC,1.57,0.01,
147,PTCMF,1.41,0.13,
