,code,ter,tc,tic
0,BEPFB4,1.50,1.03,
1,BEPFB3,0.16,1.03,
2,BEPFB1,2.27,1.03,
3,BEPFA5,1.06,1.03,
4,PBFA1,0.69,0.03,
5,FEPA2,0.93,0.54,
6,BFPB2,1.43,0.44,
7,ASPCD,1.66,0.14,
8,CSMHB1,0.93,0.47,
9,BEPFB2,1.30,1.03,
10,ASPCA,2.18,0.14,
11,DWWBI,2.18,0.56,
12,DTR50B,1.93,0.56,
13,DTR50,2.68,0.56,
14,SCPB3,0.58,0.39,
15,SCPB2,0.06,0.39,
16,SCPB1,0.37,0.39,
17,AWSMF,1.45,0.35,
18,SIFB8,1.05,0.00,
19,MMOEA,0.03,,
20,MOOFD,0.02,,
21,MOOFC,0.52,,
22,MOOFB,0.46,,
23,MOOFA,0.41,,
24,MCSB3,0.23,0.08,
25,MCSB1,0.40,0.08,
26,MCSA2,1.02,0.08,
27,MCSA1,1.57,0.08,
28,STSB4,1.59,0.03,
29,SIFA1,1.19,0.00,
30,BIGFA,1.74,0.74,
31,EBMFA,2.06,0.48,
32,BBGPB,1.43,0.31,
33,BBGPA,1.83,0.31,
34,ABWWFC,1.46,2.93,
35,AWFFA,3.01,2.93,
36,IWIEH,1.17,0.30,
37,IWIBH,1.65,0.17,
38,MEYB7,0.30,0.00,
39,BEPFA4,1.01,1.03,
40,BEPFA3,1.30,1.03,
41,BEPFA2,1.58,1.03,
42,BEPFA1,1.21,1.03,
43,FUFB4,1.56,0.00,
44,BFPB1,1.10,0.44,
45,SIFA2,0.91,0.00,
46,OLEB1,1.97,,
47,OGCB1,0.70,0.03,
48,CBEFA,1.02,0.76,
49,OMHB,0.99,0.23,
50,OGQS,3.34,0.18,
51,OOFS,1.74,,
52,OMGS,2.44,0.02,
53,OGTB,0.72,0.02,
54,OMFFC,3.28,0.20,
55,FEFCC,2.52,0.20,
56,MOEB1,0.92,0.15,
57,NFSCC,1.44,0.06,
58,NFBA,2.60,0.11,
59,PPEB2,1.37,0.55,
60,PEPB5,1.14,0.25,
61,PIPB4,2.98,0.11,
62,DYFS,2.98,0.07,
63,DYFB,1.27,0.07,
64,OMSS,3.24,0.14,
65,NFSB,2.92,0.06,
66,NFSA,2.58,0.06,
67,NFBCC,1.46,0.11,
68,NFBB,2.94,0.11,
69,PSFB2,1.23,0.00,
70,SUCB,0.01,,
71,PSFA1,2.26,0.00,
72,PEPB2,0.97,0.25,
73,PEIB5,1.13,0.16,
74,PEIB4,2.84,0.16,
75,ISIUTB,0.05,0.00,
76,PEIB2,0.95,0.16,
77,PIPB5,1.27,0.11,
78,PIPB2,1.10,0.11,
79,PSFB4,3.40,0.00,
80,PEPB4,2.85,0.25,
81,OMLB,0.45,0.23,
82,OMRB,0.87,0.03,
83,MICC,2.63,0.09,
84,MICB,0.97,0.09,
85,OMTS,2.97,0.37,
86,OMIGC,4.21,,
87,OMIFC,2.41,,
88,OMHS,2.59,0.23,
89,OMTFC,2.55,0.37,
90,OMCFB,0.84,0.37,
91,OMSCC,3.04,0.07,
92,OMGCB,1.33,0.07,
93,OMRS,2.87,0.03,
94,OMMMC,2.13,0.00,
95,EFFB,2.76,0.18,
96,OMMRC,2.88,,
97,MOEB3,0.06,,
98,OMIB,2.43,0.00,
99,PACC,3.32,0.32,
100,PACB,2.35,0.32,
101,PAWC,2.64,0.32,
102,PMMC,2.03,0.02,
103,PCQFB5,0.47,0.00,
104,PGHC,3.44,0.04,
105,POFC,3.27,0.19,
106,PGCV,0.02,0.26,
107,PREA1,1.03,0.19,
108,PIPFB7,0.26,0.02,
109,PEQB5,0.21,0.06,
110,PEAB1,0.64,0.57,
111,PEQB3,0.04,0.06,
112,PSBB1,0.77,0.25,
113,PGQF,1.43,0.00,
114,PPRQB3,0.02,0.05,
115,PBFF,1.34,0.25,
116,PGCA2,2.29,0.00,
117,PIPFB5,0.58,0.02,
118,PGGA1,2.55,0.00,
119,PIPFB6,0.47,0.02,
120,PIPFB4,0.35,0.02,
121,PIPFB3,0.01,0.02,
122,PIPFB2,0.29,0.02,
123,PIPFB1,0.41,0.02,
124,PIPF,0.86,0.02,
125,PBQB1,0.45,0.14,
126,PRQA1,0.81,0.57,
127,ISPEUB,0.02,,
128,MCPD,2.28,0.02,
129,PEAB2,0.36,0.57,
130,PGCA1,2.50,0.00,
131,PBQB3,0.05,0.14,
132,PCQF,0.58,0.00,
133,PFIB,0.02,0.00,
134,PPSM,1.77,0.15,
135,PPFI,1.20,0.03,
136,PPSE,1.74,0.28,
137,PPEC,0.76,0.00,
138,PPSC,1.62,0.05,
139,PCQFB3,0.01,,
140,PAIB,1.57,0.04,
141,PBQB2,0.33,0.14,
142,PEQF,0.61,0.06,
143,PPFM,1.96,0.20,
144,PTPF,2.13,0.11,
145,PETP,1.44,0.16,
146,PTIC,1.57,0.01,
147,PTCMF,1.41,0.14,
148,PSFB5,1.69,0.00,
149,SITB1,0.34,0.00,
150,SIATA,0.53,0.00,
151,AGDC,1.97,0.08,
152,AGDA,2.25,0.08,
153,AEPA1,1.05,0.84,
154,SBLB1,0.01,0.00,
155,SGEB1,2.69,0.00,
156,SIAB1,0.91,0.00,
157,SMEB3,0.05,0.00,
158,SMEYF,0.45,0.00,
159,SMDB1,1.32,0.00,
160,SMFB1,0.69,0.00,
161,CGEA1,0.77,0.27,
162,AGEB3,0.16,0.44,
163,AGEB2,0.44,0.44,
164,AGEB1,0.61,0.44,
165,AGEA1,0.84,0.44,
166,AEPB2,0.60,0.84,
167,AMPB3,0.60,0.80,
168,AEPB1,0.83,0.84,
169,STMSB1,1.28,0.03,
170,STMSA,2.12,0.03,
171,SMFP2,0.34,0.05,
172,SMEY1,0.62,0.00,
173,SMDB2,0.83,0.00,
174,WABA,0.53,0.12,
175,MSSFF,1.74,0.04,
176,CGEPC,1.44,0.27,
177,CEGB3,0.08,0.27,
178,CEGB1,1.06,0.27,
179,MAIPA,2.10,0.32,
180,MADB1,1.42,0.15,
181,MAICA,1.87,0.15,
182,MAIB1,1.55,0.23,
183,MAIBA,2.00,0.23,
184,CPSCA,1.25,0.22,
185,CPGCA,1.53,0.23,
186,CHSA,0.49,0.42,
187,MSGFF,2.22,0.06,
188,MSBFF,1.80,0.06,
189,SCOIB,1.29,0.00,
190,SCOIA,1.74,0.00,
191,MUPB1,1.66,0.32,
192,RBGFA,1.63,0.00,
193,CABFA,0.49,0.00,
194,BBWFA,3.22,0.21,
195,ABGEA,2.70,0.05,
196,ABWOF,2.08,0.21,
197,ABSFA,1.66,0.12,
198,ABMFA,1.56,0.20,
199,SBIMB5,0.81,0.00,
200,SBIMB4,0.01,0.00,
201,SBIMB3,0.18,0.00,
202,SBIMB2,0.24,0.00,
203,SIMB14,0.45,0.00,
204,SIB13,0.58,0.00,
205,SBIMB1,0.29,0.00,
206,SBB12,0.93,0.00,
207,SCMB8,0.12,0.00,
208,SMPB,1.40,,
209,SCB3,0.30,0.00,
210,SCB2,0.35,0.00,
211,SCMB13,0.58,0.00,
212,SCB1,0.47,0.00,
213,SMCB3,0.66,,
214,SAEF,1.85,,
215,SADB3,1.31,,
216,SADF,1.56,0.15,
217,SABB3,1.16,,
218,SAOF,1.43,0.57,
219,SCMB7,0.08,0.00,
220,SBB6,0.00,,
221,SCB5,0.18,0.00,
222,SCB4,0.24,0.00,
223,SPSC,2.96,0.16,
224,SPSA,1.80,0.16,
225,SLSC,0.00,,
226,SLSA,1.95,0.33,
227,SBSA,1.87,0.24,
228,SITCC,2.82,0.50,
229,STD2,1.75,0.06,
230,LII3,1.16,0.06,
231,SAF1,0.90,0.13,
232,STM3,1.28,0.00,
233,STM2,1.96,0.00,
234,STMB13,0.65,0.00,
235,SIMB9,0.13,0.00,
236,SBIMB7,0.46,0.00,
237,SBIMB6,0.35,0.00,
238,SBSC,2.56,0.24,
239,STFB6,0.63,0.05,
240,STAB5,2.38,0.06,
241,SAI4,2.04,0.06,
242,SAI2,0.11,0.05,
243,SAI1,1.02,0.06,
244,SAF4,2.42,0.13,
245,SAEB3,2.96,1.37,
246,SAEB1,4.04,1.37,
247,SMB4,1.45,0.00,
248,STMB14,0.88,0.00,
249,STCB1,0.02,0.50,
250,SNBN,0.12,,
251,SMCFB2,2.51,0.05,
252,SMCFB1,0.97,0.05,
253,SMAB2,2.63,0.21,
254,SMAB1,0.80,0.21,
255,SIPCB,0.34,0.09,
256,SIPB7,1.01,0.09,
257,SIPB6,0.76,0.09,
258,SAIB4,0.80,0.09,
259,STCB5,0.95,0.50,
260,STTB4,1.19,0.50,
261,STCB2,1.14,0.50,
262,SDIT,0.24,,
263,SMFB,0.01,,
264,SMMB2,2.60,0.14,
265,SMMB1,0.79,0.14,
266,SMMAB1,0.78,0.18,
267,SMCB2,2.75,0.10,
268,SMCB1,0.99,0.10,
269,SMMAB2,2.59,0.18,
270,SIBCC,3.48,0.01,
271,SGBB2,1.77,0.01,
272,SIGB1,0.30,0.01,
273,SIGA1,2.05,0.01,
